epoch,step,train_accuracy_epoch,train_accuracy_step,train_loss_epoch,train_loss_step
0,9,,0.42500001192092896,,nan
0,19,,0.3499999940395355,,nan
0,19,0.35624998807907104,,nan,
1,29,,0.32499998807907104,,nan
1,39,,0.2750000059604645,,nan
1,39,0.35624998807907104,,nan,
2,49,,0.30000001192092896,,nan
2,59,,0.3499999940395355,,nan
2,59,0.35624998807907104,,nan,
3,69,,0.4000000059604645,,nan
3,79,,0.4749999940395355,,nan
3,79,0.35624998807907104,,nan,
4,89,,0.32499998807907104,,nan
4,99,,0.4000000059604645,,nan
4,99,0.35624998807907104,,nan,
5,109,,0.375,,nan
5,119,,0.42500001192092896,,nan
5,119,0.35624998807907104,,nan,
6,129,,0.4749999940395355,,nan
6,139,,0.42500001192092896,,nan
6,139,0.35624998807907104,,nan,
