epoch,step,train_accuracy_step,train_loss_step
0,0,0.3499999940395355,nan
0,1,0.25,nan
0,2,0.20000000298023224,nan
0,3,0.25,nan
0,4,0.30000001192092896,nan
0,5,0.05000000074505806,nan
0,6,0.25,nan
0,7,0.30000001192092896,nan
0,8,0.20000000298023224,nan
0,9,0.30000001192092896,nan
0,10,0.25,nan
0,11,0.5,nan
0,12,0.4000000059604645,nan
0,13,0.6499999761581421,nan
0,14,0.3499999940395355,nan
0,15,0.15000000596046448,nan
0,16,0.3499999940395355,nan
0,17,0.3499999940395355,nan
0,18,0.20000000298023224,nan
0,19,0.25,nan
0,20,0.30000001192092896,nan
0,21,0.3499999940395355,nan
0,22,0.44999998807907104,nan
0,23,0.25,nan
0,24,0.3499999940395355,nan
0,25,0.3499999940395355,nan
0,26,0.550000011920929,nan
0,27,0.4000000059604645,nan
